cancer_classification,YEAR,Age_Group,M,F,TOTAL
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N35_39,931,1735,2666
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N40_44,1637,3417,5054
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N45_49,3284,5583,8867
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N50_54,5410,6778,12188
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N55_59,9179,8593,17772
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N60_64,13469,10418,23887
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N65_69,15764,11071,26835
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N70_74,14397,11085,25482
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N75_79,10077,9401,19478
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N80_84,6127,6848,12975
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N85+,3190,4982,8172
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N0_4,369,276,645
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N5_9,247,156,403
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N10_14,214,169,383
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N15_19,298,260,558
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N20_24,469,360,829
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N25_29,649,695,1344
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N30_34,685,1003,1688
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N35_39,905,1750,2655
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N40_44,1674,3314,4988
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N45_49,3160,5725,8885
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N50_54,5355,7140,12495
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N55_59,9017,8730,17747
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N60_64,13714,10427,24141
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N65_69,16228,11509,27737
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N70_74,14853,11469,26322
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N75_79,10319,9802,20121
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N80_84,6134,6986,13120
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N85+,3272,5083,8355
"All cancers but non-melanoma skin (C00-96, but C44)",1972,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N0_4,375,288,663
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N5_9,217,180,397
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N10_14,203,164,367
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N15_19,293,220,513
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N20_24,445,384,829
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N25_29,666,728,1394
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N30_34,733,1112,1845
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N35_39,943,1837,2780
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N40_44,1688,3349,5037
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N45_49,3173,5641,8814
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N50_54,5922,7715,13637
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N55_59,9019,8579,17598
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N60_64,14168,11077,25245
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N65_69,17267,12300,29567
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N70_74,16330,12018,28348
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N75_79,11430,10504,21934
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N80_84,6531,7566,14097
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N85+,3566,5517,9083
"All cancers but non-melanoma skin (C00-96, but C44)",1973,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N0_4,345,267,612
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N5_9,228,158,386
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N10_14,189,174,363
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N15_19,313,255,568
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N20_24,490,378,868
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N25_29,692,760,1452
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N30_34,700,1192,1892
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N35_39,1011,1962,2973
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N40_44,1643,3509,5152
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N45_49,3314,5699,9013
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N50_54,6388,8152,14540
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N55_59,8649,8674,17323
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N60_64,14154,11474,25628
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N65_69,17695,13097,30792
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N70_74,17238,12985,30223
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N75_79,11815,11091,22906
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N80_84,6984,7896,14880
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N85+,3654,5933,9587
"All cancers but non-melanoma skin (C00-96, but C44)",1974,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N0_4,347,249,596
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N5_9,251,175,426
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N10_14,227,159,386
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N15_19,313,250,563
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N20_24,435,405,840
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N25_29,689,804,1493
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N30_34,791,1238,2029
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N35_39,984,1943,2927
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N40_44,1614,3245,4859
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N45_49,3188,5433,8621
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N50_54,6121,7951,14072
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N55_59,8708,8779,17487
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N60_64,14187,11288,25475
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N65_69,17902,12975,30877
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N70_74,17725,13280,31005
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N75_79,12647,11572,24219
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N80_84,7022,8268,15290
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N85+,3859,6145,10004
"All cancers but non-melanoma skin (C00-96, but C44)",1975,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N0_4,330,288,618
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N5_9,267,173,440
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N10_14,226,202,428
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N15_19,326,254,580
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N20_24,489,387,876
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N25_29,711,788,1499
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N30_34,787,1287,2074
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N35_39,1035,1959,2994
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N40_44,1590,3182,4772
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N45_49,3048,5339,8387
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N50_54,6067,7641,13708
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N55_59,8899,9020,17919
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N60_64,14054,11458,25512
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N65_69,18006,13133,31139
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N70_74,18090,13292,31382
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N75_79,13049,11917,24966
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N80_84,7029,8390,15419
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N85+,3858,6105,9963
"All cancers but non-melanoma skin (C00-96, but C44)",1976,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N0_4,320,298,618
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N5_9,235,163,398
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N10_14,219,193,412
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N15_19,382,255,637
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N20_24,497,417,914
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N25_29,760,855,1615
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N30_34,854,1503,2357
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N35_39,1103,2024,3127
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N40_44,1699,3198,4897
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N45_49,3226,5351,8577
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N50_54,6206,7742,13948
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N55_59,9405,9609,19014
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N60_64,14283,11583,25866
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N65_69,18913,13826,32739
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N70_74,19251,13940,33191
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N75_79,14363,12525,26888
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N80_84,7733,8956,16689
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N85+,3967,6523,10490
"All cancers but non-melanoma skin (C00-96, but C44)",1977,N_UNK,16,5,21
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N0_4,350,241,591
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N5_9,253,193,446
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N10_14,280,199,479
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N15_19,393,301,694
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N20_24,568,444,1012
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N25_29,804,892,1696
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N30_34,1000,1649,2649
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N35_39,1253,2356,3609
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N40_44,1858,3544,5402
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N45_49,3599,5958,9557
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N50_54,6694,8295,14989
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N55_59,11170,11241,22411
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N60_64,14884,12225,27109
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N65_69,20733,15594,36327
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N70_74,21416,16006,37422
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N75_79,16389,14289,30678
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N80_84,8679,10116,18795
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N85+,4586,7543,12129
"All cancers but non-melanoma skin (C00-96, but C44)",1978,N_UNK,8,6,14
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N0_4,323,262,585
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N5_9,284,144,428
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N10_14,265,208,473
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N15_19,416,332,748
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N20_24,532,443,975
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N25_29,706,838,1544
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N30_34,1075,1795,2870
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N35_39,1292,2359,3651
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N40_44,2021,3750,5771
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N45_49,3486,5800,9286
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N50_54,6881,8141,15022
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N55_59,12081,11756,23837
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N60_64,14573,11984,26557
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N65_69,21181,15603,36784
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N70_74,22438,16387,38825
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N75_79,17764,14913,32677
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N80_84,9178,10708,19886
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N85+,4788,7977,12765
"All cancers but non-melanoma skin (C00-96, but C44)",1979,N_UNK,9,10,19
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N0_4,360,277,637
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N5_9,242,192,434
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N10_14,274,198,472
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N15_19,446,373,819
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N20_24,597,495,1092
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N25_29,726,926,1652
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N30_34,1066,1790,2856
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N35_39,1290,2533,3823
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N40_44,2045,4051,6096
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N45_49,3594,5807,9401
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N50_54,6776,8132,14908
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N55_59,11879,12019,23898
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N60_64,15046,12533,27579
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N65_69,21504,16295,37799
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N70_74,23089,17193,40282
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N75_79,18429,15476,33905
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N80_84,9854,11136,20990
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N85+,5215,8609,13824
"All cancers but non-melanoma skin (C00-96, but C44)",1980,N_UNK,2,7,9
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N0_4,340,275,615
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N5_9,221,163,384
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N10_14,260,222,482
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N15_19,444,298,742
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N20_24,591,476,1067
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N25_29,721,955,1676
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N30_34,1128,1803,2931
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N35_39,1401,2682,4083
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N40_44,2054,4001,6055
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N45_49,3480,5735,9215
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N50_54,6701,8220,14921
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N55_59,11583,11652,23235
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N60_64,15658,13366,29024
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N65_69,21501,16055,37556
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N70_74,23546,17395,40941
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N75_79,19043,16061,35104
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N80_84,10512,11999,22511
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N85+,5454,9284,14738
"All cancers but non-melanoma skin (C00-96, but C44)",1981,N_UNK,14,6,20
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N0_4,353,310,663
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N5_9,225,154,379
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N10_14,261,200,461
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N15_19,458,293,751
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N20_24,606,516,1122
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N25_29,744,966,1710
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N30_34,1099,1817,2916
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N35_39,1522,2950,4472
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N40_44,2018,4042,6060
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N45_49,3410,5903,9313
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N50_54,6627,7898,14525
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N55_59,11486,11354,22840
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N60_64,15986,14120,30106
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N65_69,20824,15877,36701
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N70_74,24144,17648,41792
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N75_79,19553,16525,36078
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N80_84,10970,12214,23184
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N85+,5506,9472,14978
"All cancers but non-melanoma skin (C00-96, but C44)",1982,N_UNK,5,3,8
"All cancers but non-melanoma skin (C00-96, but C44)",1983,N0_4,522,424,946
"All cancers but non-melanoma skin (C00-96, but C44)",1983,N5_9,337,246,583
