cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
Leukaemia (C91-95),M,1959,N30_34,12,434
Leukaemia (C91-95),M,1960,N30_34,3,369
Leukaemia (C91-95),M,1961,N30_34,6,444
Leukaemia (C91-95),M,1962,N30_34,4,436
Leukaemia (C91-95),M,1963,N30_34,9,451
Leukaemia (C91-95),M,1964,N30_34,7,467
Leukaemia (C91-95),M,1965,N30_34,6,425
Leukaemia (C91-95),M,1966,N30_34,5,476
Leukaemia (C91-95),M,1967,N30_34,6,511
Leukaemia (C91-95),M,1968,N30_34,11,499
Leukaemia (C91-95),M,1969,N30_34,3,508
Leukaemia (C91-95),M,1970,N30_34,7,523
Leukaemia (C91-95),M,1971,N30_34,44,2323
Leukaemia (C91-95),M,1972,N30_34,34,2421
Leukaemia (C91-95),M,1973,N30_34,33,2465
Leukaemia (C91-95),M,1974,N30_34,46,2660
Leukaemia (C91-95),M,1975,N30_34,51,2659
Leukaemia (C91-95),M,1976,N30_34,48,2622
Leukaemia (C91-95),M,1977,N30_34,48,2813
Leukaemia (C91-95),M,1978,N30_34,59,3096
Leukaemia (C91-95),M,1979,N30_34,64,3327
Leukaemia (C91-95),M,1980,N30_34,72,3370
Leukaemia (C91-95),M,1981,N30_34,58,3371
Leukaemia (C91-95),M,1982,N30_34,72,3556
Leukaemia (C91-95),M,1983,N30_34,86,4794
Leukaemia (C91-95),M,1984,N30_34,72,4767
Leukaemia (C91-95),M,1985,N30_34,98,4988
Leukaemia (C91-95),M,1986,N30_34,75,4754
Leukaemia (C91-95),M,1987,N30_34,105,5286
Leukaemia (C91-95),M,1988,N30_34,101,5982
Leukaemia (C91-95),M,1989,N30_34,110,6844
Leukaemia (C91-95),M,1990,N30_34,105,7045
Leukaemia (C91-95),M,1991,N30_34,128,6968
Leukaemia (C91-95),M,1992,N30_34,122,6967
Leukaemia (C91-95),M,1993,N30_34,128,7554
Leukaemia (C91-95),M,1994,N30_34,119,7946
Leukaemia (C91-95),M,1995,N30_34,135,8410
Leukaemia (C91-95),M,1996,N30_34,134,8227
Leukaemia (C91-95),M,1997,N30_34,137,8478
Leukaemia (C91-95),M,1998,N30_34,158,9370
Leukaemia (C91-95),M,1999,N30_34,157,10040
Leukaemia (C91-95),M,2000,N30_34,169,9970
Leukaemia (C91-95),M,2001,N30_34,174,10210
Leukaemia (C91-95),M,2002,N30_34,145,10133
Leukaemia (C91-95),M,2003,N30_34,163,11442
Leukaemia (C91-95),M,2004,N30_34,166,11834
Leukaemia (C91-95),M,2005,N30_34,155,11788
Leukaemia (C91-95),M,2006,N30_34,156,12024
Leukaemia (C91-95),M,2007,N30_34,152,12276
Leukaemia (C91-95),M,2008,N30_34,175,12631
Leukaemia (C91-95),M,2009,N30_34,144,13279
Leukaemia (C91-95),M,2010,N30_34,171,13296
Leukaemia (C91-95),M,2011,N30_34,137,13538
Leukaemia (C91-95),M,2012,N30_34,178,13622
Leukaemia (C91-95),M,2013,N30_34,172,15124
Leukaemia (C91-95),M,2014,N30_34,182,14940
Leukaemia (C91-95),M,2015,N30_34,174,15440
Leukaemia (C91-95),M,2016,N30_34,173,15195
Leukaemia (C91-95),M,2017,N30_34,168,14517
Leukaemia (C91-95),F,1953,N30_34,8,218
Leukaemia (C91-95),F,1954,N30_34,4,258
Leukaemia (C91-95),F,1955,N30_34,6,261
Leukaemia (C91-95),F,1956,N30_34,6,264
Leukaemia (C91-95),F,1957,N30_34,8,258
Leukaemia (C91-95),F,1958,N30_34,5,286
Leukaemia (C91-95),F,1959,N30_34,6,282
Leukaemia (C91-95),F,1960,N30_34,8,314
Leukaemia (C91-95),F,1961,N30_34,4,311
Leukaemia (C91-95),F,1962,N30_34,5,299
Leukaemia (C91-95),F,1963,N30_34,4,312
Leukaemia (C91-95),F,1964,N30_34,5,313
Leukaemia (C91-95),F,1965,N30_34,3,331
Leukaemia (C91-95),F,1966,N30_34,9,343
Leukaemia (C91-95),F,1967,N30_34,3,320
Leukaemia (C91-95),F,1968,N30_34,3,362
Leukaemia (C91-95),F,1969,N30_34,5,372
Leukaemia (C91-95),F,1970,N30_34,3,342
Leukaemia (C91-95),F,1971,N30_34,30,1792
Leukaemia (C91-95),F,1972,N30_34,35,1929
Leukaemia (C91-95),F,1973,N30_34,29,2033
Leukaemia (C91-95),F,1974,N30_34,42,2120
Leukaemia (C91-95),F,1975,N30_34,43,2208
Leukaemia (C91-95),F,1976,N30_34,33,2229
Leukaemia (C91-95),F,1977,N30_34,49,2329
Leukaemia (C91-95),F,1978,N30_34,52,2506
Leukaemia (C91-95),F,1979,N30_34,54,2538
Leukaemia (C91-95),F,1980,N30_34,58,2680
Leukaemia (C91-95),F,1981,N30_34,43,2860
Leukaemia (C91-95),F,1982,N30_34,50,2761
Leukaemia (C91-95),F,1983,N30_34,84,4034
Leukaemia (C91-95),F,1984,N30_34,73,3949
Leukaemia (C91-95),F,1985,N30_34,69,4095
Leukaemia (C91-95),F,1986,N30_34,61,3956
Leukaemia (C91-95),F,1987,N30_34,65,4351
Leukaemia (C91-95),F,1988,N30_34,77,5021
Leukaemia (C91-95),F,1989,N30_34,118,5654
Leukaemia (C91-95),F,1990,N30_34,92,5619
Leukaemia (C91-95),F,1991,N30_34,75,5530
Leukaemia (C91-95),F,1992,N30_34,103,5722
Leukaemia (C91-95),F,1993,N30_34,112,6101
Leukaemia (C91-95),F,1994,N30_34,90,6465
Leukaemia (C91-95),F,1995,N30_34,102,6495
Leukaemia (C91-95),F,1996,N30_34,111,6661
Leukaemia (C91-95),F,1997,N30_34,119,6966
Leukaemia (C91-95),F,1998,N30_34,129,7728
Leukaemia (C91-95),F,1999,N30_34,140,7991
Leukaemia (C91-95),F,2000,N30_34,114,7882
Leukaemia (C91-95),F,2001,N30_34,108,7906
Leukaemia (C91-95),F,2002,N30_34,103,7973
Leukaemia (C91-95),F,2003,N30_34,125,8817
Leukaemia (C91-95),F,2004,N30_34,115,9082
Leukaemia (C91-95),F,2005,N30_34,108,9186
Leukaemia (C91-95),F,2006,N30_34,138,9286
Leukaemia (C91-95),F,2007,N30_34,108,9248
Leukaemia (C91-95),F,2008,N30_34,125,9639
Leukaemia (C91-95),F,2009,N30_34,135,9912
Leukaemia (C91-95),F,2010,N30_34,109,10026
Leukaemia (C91-95),F,2011,N30_34,109,10320
Leukaemia (C91-95),F,2012,N30_34,110,10004
Leukaemia (C91-95),F,2013,N30_34,135,10963
Leukaemia (C91-95),F,2014,N30_34,122,10725
Leukaemia (C91-95),F,2015,N30_34,147,11194
Leukaemia (C91-95),F,2016,N30_34,129,10732
Leukaemia (C91-95),F,2017,N30_34,152,10410
"All cancers but non-melanoma skin (C00-96, but C44)",M,1953,N35_39,163,7925
"All cancers but non-melanoma skin (C00-96, but C44)",M,1954,N35_39,152,8254
"All cancers but non-melanoma skin (C00-96, but C44)",M,1955,N35_39,166,8420
"All cancers but non-melanoma skin (C00-96, but C44)",M,1956,N35_39,155,8817
"All cancers but non-melanoma skin (C00-96, but C44)",M,1957,N35_39,173,9134
"All cancers but non-melanoma skin (C00-96, but C44)",M,1958,N35_39,180,9534
"All cancers but non-melanoma skin (C00-96, but C44)",M,1959,N35_39,182,10121
"All cancers but non-melanoma skin (C00-96, but C44)",M,1960,N35_39,158,10219
"All cancers but non-melanoma skin (C00-96, but C44)",M,1961,N35_39,143,10747
"All cancers but non-melanoma skin (C00-96, but C44)",M,1962,N35_39,183,10784
"All cancers but non-melanoma skin (C00-96, but C44)",M,1963,N35_39,169,11343
"All cancers but non-melanoma skin (C00-96, but C44)",M,1964,N35_39,161,11696
"All cancers but non-melanoma skin (C00-96, but C44)",M,1965,N35_39,158,12185
"All cancers but non-melanoma skin (C00-96, but C44)",M,1966,N35_39,168,12181
"All cancers but non-melanoma skin (C00-96, but C44)",M,1967,N35_39,167,12899
"All cancers but non-melanoma skin (C00-96, but C44)",M,1968,N35_39,182,13536
"All cancers but non-melanoma skin (C00-96, but C44)",M,1969,N35_39,166,13633
"All cancers but non-melanoma skin (C00-96, but C44)",M,1970,N35_39,186,14092
"All cancers but non-melanoma skin (C00-96, but C44)",M,1971,N35_39,931,86250
"All cancers but non-melanoma skin (C00-96, but C44)",M,1972,N35_39,905,87562
"All cancers but non-melanoma skin (C00-96, but C44)",M,1973,N35_39,943,92969
"All cancers but non-melanoma skin (C00-96, but C44)",M,1974,N35_39,1011,95502
"All cancers but non-melanoma skin (C00-96, but C44)",M,1975,N35_39,984,97010
"All cancers but non-melanoma skin (C00-96, but C44)",M,1976,N35_39,1035,97861
"All cancers but non-melanoma skin (C00-96, but C44)",M,1977,N35_39,1103,103432
"All cancers but non-melanoma skin (C00-96, but C44)",M,1978,N35_39,1253,114917
"All cancers but non-melanoma skin (C00-96, but C44)",M,1979,N35_39,1292,119293
"All cancers but non-melanoma skin (C00-96, but C44)",M,1980,N35_39,1290,122434
"All cancers but non-melanoma skin (C00-96, but C44)",M,1981,N35_39,1401,124652
"All cancers but non-melanoma skin (C00-96, but C44)",M,1982,N35_39,1522,125797
"All cancers but non-melanoma skin (C00-96, but C44)",M,1983,N35_39,2127,163988
"All cancers but non-melanoma skin (C00-96, but C44)",M,1984,N35_39,2230,165084
"All cancers but non-melanoma skin (C00-96, but C44)",M,1985,N35_39,2349,171676
"All cancers but non-melanoma skin (C00-96, but C44)",M,1986,N35_39,2496,172508
"All cancers but non-melanoma skin (C00-96, but C44)",M,1987,N35_39,2419,180991
"All cancers but non-melanoma skin (C00-96, but C44)",M,1988,N35_39,2857,204669
"All cancers but non-melanoma skin (C00-96, but C44)",M,1989,N35_39,3142,234680
"All cancers but non-melanoma skin (C00-96, but C44)",M,1990,N35_39,3289,239188
"All cancers but non-melanoma skin (C00-96, but C44)",M,1991,N35_39,3308,243715
"All cancers but non-melanoma skin (C00-96, but C44)",M,1992,N35_39,3379,252589
"All cancers but non-melanoma skin (C00-96, but C44)",M,1993,N35_39,3495,265552
"All cancers but non-melanoma skin (C00-96, but C44)",M,1994,N35_39,3674,281542
"All cancers but non-melanoma skin (C00-96, but C44)",M,1995,N35_39,3714,282510
"All cancers but non-melanoma skin (C00-96, but C44)",M,1996,N35_39,3805,288948
"All cancers but non-melanoma skin (C00-96, but C44)",M,1997,N35_39,3754,293415
"All cancers but non-melanoma skin (C00-96, but C44)",M,1998,N35_39,4197,326093
"All cancers but non-melanoma skin (C00-96, but C44)",M,1999,N35_39,4541,336862
"All cancers but non-melanoma skin (C00-96, but C44)",M,2000,N35_39,4592,343550
"All cancers but non-melanoma skin (C00-96, but C44)",M,2001,N35_39,4433,349912
"All cancers but non-melanoma skin (C00-96, but C44)",M,2002,N35_39,4364,356396
"All cancers but non-melanoma skin (C00-96, but C44)",M,2003,N35_39,4749,392012
"All cancers but non-melanoma skin (C00-96, but C44)",M,2004,N35_39,4856,408926
"All cancers but non-melanoma skin (C00-96, but C44)",M,2005,N35_39,4955,409788
"All cancers but non-melanoma skin (C00-96, but C44)",M,2006,N35_39,4884,421450
"All cancers but non-melanoma skin (C00-96, but C44)",M,2007,N35_39,4995,432515
"All cancers but non-melanoma skin (C00-96, but C44)",M,2008,N35_39,4998,442143
"All cancers but non-melanoma skin (C00-96, but C44)",M,2009,N35_39,4944,455932
"All cancers but non-melanoma skin (C00-96, but C44)",M,2010,N35_39,4993,460898
"All cancers but non-melanoma skin (C00-96, but C44)",M,2011,N35_39,4911,470812
"All cancers but non-melanoma skin (C00-96, but C44)",M,2012,N35_39,4982,475115
"All cancers but non-melanoma skin (C00-96, but C44)",M,2013,N35_39,5058,497075
"All cancers but non-melanoma skin (C00-96, but C44)",M,2014,N35_39,5014,501541
"All cancers but non-melanoma skin (C00-96, but C44)",M,2015,N35_39,5037,510250
"All cancers but non-melanoma skin (C00-96, but C44)",M,2016,N35_39,5262,518720
"All cancers but non-melanoma skin (C00-96, but C44)",M,2017,N35_39,5133,498383
"All cancers but non-melanoma skin (C00-96, but C44)",F,1953,N35_39,399,9337
"All cancers but non-melanoma skin (C00-96, but C44)",F,1954,N35_39,308,9233
"All cancers but non-melanoma skin (C00-96, but C44)",F,1955,N35_39,431,9813
"All cancers but non-melanoma skin (C00-96, but C44)",F,1956,N35_39,409,10049
"All cancers but non-melanoma skin (C00-96, but C44)",F,1957,N35_39,439,9999
"All cancers but non-melanoma skin (C00-96, but C44)",F,1958,N35_39,461,10605
"All cancers but non-melanoma skin (C00-96, but C44)",F,1959,N35_39,428,10957
"All cancers but non-melanoma skin (C00-96, but C44)",F,1960,N35_39,473,11219
"All cancers but non-melanoma skin (C00-96, but C44)",F,1961,N35_39,412,11409
"All cancers but non-melanoma skin (C00-96, but C44)",F,1962,N35_39,404,11681
"All cancers but non-melanoma skin (C00-96, but C44)",F,1963,N35_39,389,11923
"All cancers but non-melanoma skin (C00-96, but C44)",F,1964,N35_39,430,12446
"All cancers but non-melanoma skin (C00-96, but C44)",F,1965,N35_39,422,12589
"All cancers but non-melanoma skin (C00-96, but C44)",F,1966,N35_39,363,12982
"All cancers but non-melanoma skin (C00-96, but C44)",F,1967,N35_39,359,13311
"All cancers but non-melanoma skin (C00-96, but C44)",F,1968,N35_39,389,13854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1969,N35_39,376,13937
"All cancers but non-melanoma skin (C00-96, but C44)",F,1970,N35_39,364,14348
"All cancers but non-melanoma skin (C00-96, but C44)",F,1971,N35_39,1735,82794
"All cancers but non-melanoma skin (C00-96, but C44)",F,1972,N35_39,1750,84854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1973,N35_39,1837,89179
"All cancers but non-melanoma skin (C00-96, but C44)",F,1974,N35_39,1962,93656
"All cancers but non-melanoma skin (C00-96, but C44)",F,1975,N35_39,1943,94159
"All cancers but non-melanoma skin (C00-96, but C44)",F,1976,N35_39,1959,94815
"All cancers but non-melanoma skin (C00-96, but C44)",F,1977,N35_39,2024,98966
"All cancers but non-melanoma skin (C00-96, but C44)",F,1978,N35_39,2356,111092
"All cancers but non-melanoma skin (C00-96, but C44)",F,1979,N35_39,2359,113410
"All cancers but non-melanoma skin (C00-96, but C44)",F,1980,N35_39,2533,118042
"All cancers but non-melanoma skin (C00-96, but C44)",F,1981,N35_39,2682,120648
"All cancers but non-melanoma skin (C00-96, but C44)",F,1982,N35_39,2950,122262
"All cancers but non-melanoma skin (C00-96, but C44)",F,1983,N35_39,4108,157827
"All cancers but non-melanoma skin (C00-96, but C44)",F,1984,N35_39,4360,159234
"All cancers but non-melanoma skin (C00-96, but C44)",F,1985,N35_39,4534,166556
"All cancers but non-melanoma skin (C00-96, but C44)",F,1986,N35_39,4678,167836
"All cancers but non-melanoma skin (C00-96, but C44)",F,1987,N35_39,4583,175768
"All cancers but non-melanoma skin (C00-96, but C44)",F,1988,N35_39,5069,194962
"All cancers but non-melanoma skin (C00-96, but C44)",F,1989,N35_39,5981,224251
"All cancers but non-melanoma skin (C00-96, but C44)",F,1990,N35_39,5875,227736
"All cancers but non-melanoma skin (C00-96, but C44)",F,1991,N35_39,5801,232385
"All cancers but non-melanoma skin (C00-96, but C44)",F,1992,N35_39,6065,240396
"All cancers but non-melanoma skin (C00-96, but C44)",F,1993,N35_39,6361,249416
"All cancers but non-melanoma skin (C00-96, but C44)",F,1994,N35_39,6803,263228
"All cancers but non-melanoma skin (C00-96, but C44)",F,1995,N35_39,6739,263756
"All cancers but non-melanoma skin (C00-96, but C44)",F,1996,N35_39,6890,268998
"All cancers but non-melanoma skin (C00-96, but C44)",F,1997,N35_39,6922,276716
"All cancers but non-melanoma skin (C00-96, but C44)",F,1998,N35_39,7887,307067
"All cancers but non-melanoma skin (C00-96, but C44)",F,1999,N35_39,8087,316880
"All cancers but non-melanoma skin (C00-96, but C44)",F,2000,N35_39,8163,319633
"All cancers but non-melanoma skin (C00-96, but C44)",F,2001,N35_39,8322,323373
"All cancers but non-melanoma skin (C00-96, but C44)",F,2002,N35_39,8189,326265
"All cancers but non-melanoma skin (C00-96, but C44)",F,2003,N35_39,8933,357133
"All cancers but non-melanoma skin (C00-96, but C44)",F,2004,N35_39,9034,364282
"All cancers but non-melanoma skin (C00-96, but C44)",F,2005,N35_39,9070,369230
"All cancers but non-melanoma skin (C00-96, but C44)",F,2006,N35_39,9179,376073
"All cancers but non-melanoma skin (C00-96, but C44)",F,2007,N35_39,9267,384657
"All cancers but non-melanoma skin (C00-96, but C44)",F,2008,N35_39,9361,396686
"All cancers but non-melanoma skin (C00-96, but C44)",F,2009,N35_39,9382,404962
"All cancers but non-melanoma skin (C00-96, but C44)",F,2010,N35_39,9384,411514
"All cancers but non-melanoma skin (C00-96, but C44)",F,2011,N35_39,9305,419835
"All cancers but non-melanoma skin (C00-96, but C44)",F,2012,N35_39,9023,423370
"All cancers but non-melanoma skin (C00-96, but C44)",F,2013,N35_39,9236,442601
"All cancers but non-melanoma skin (C00-96, but C44)",F,2014,N35_39,9466,450248
"All cancers but non-melanoma skin (C00-96, but C44)",F,2015,N35_39,9522,454776
"All cancers but non-melanoma skin (C00-96, but C44)",F,2016,N35_39,9837,459284
"All cancers but non-melanoma skin (C00-96, but C44)",F,2017,N35_39,9506,442869
"Lip, oral cavity and pharynx (C00-14)",M,1953,N35_39,16,342
"Lip, oral cavity and pharynx (C00-14)",M,1954,N35_39,6,398
"Lip, oral cavity and pharynx (C00-14)",M,1955,N35_39,13,380
"Lip, oral cavity and pharynx (C00-14)",M,1956,N35_39,10,394
"Lip, oral cavity and pharynx (C00-14)",M,1957,N35_39,13,428
"Lip, oral cavity and pharynx (C00-14)",M,1958,N35_39,12,416
"Lip, oral cavity and pharynx (C00-14)",M,1959,N35_39,8,421
"Lip, oral cavity and pharynx (C00-14)",M,1960,N35_39,9,454
"Lip, oral cavity and pharynx (C00-14)",M,1961,N35_39,7,428
"Lip, oral cavity and pharynx (C00-14)",M,1962,N35_39,17,450
"Lip, oral cavity and pharynx (C00-14)",M,1963,N35_39,12,453
"Lip, oral cavity and pharynx (C00-14)",M,1964,N35_39,8,448
"Lip, oral cavity and pharynx (C00-14)",M,1965,N35_39,11,470
"Lip, oral cavity and pharynx (C00-14)",M,1966,N35_39,7,436
"Lip, oral cavity and pharynx (C00-14)",M,1967,N35_39,7,418
"Lip, oral cavity and pharynx (C00-14)",M,1968,N35_39,7,477
"Lip, oral cavity and pharynx (C00-14)",M,1969,N35_39,12,462
"Lip, oral cavity and pharynx (C00-14)",M,1970,N35_39,7,491
"Lip, oral cavity and pharynx (C00-14)",M,1971,N35_39,38,2231
"Lip, oral cavity and pharynx (C00-14)",M,1972,N35_39,23,2396
"Lip, oral cavity and pharynx (C00-14)",M,1973,N35_39,29,2278
"Lip, oral cavity and pharynx (C00-14)",M,1974,N35_39,47,2412
"Lip, oral cavity and pharynx (C00-14)",M,1975,N35_39,37,2448
"Lip, oral cavity and pharynx (C00-14)",M,1976,N35_39,53,2456
"Lip, oral cavity and pharynx (C00-14)",M,1977,N35_39,40,2594
"Lip, oral cavity and pharynx (C00-14)",M,1978,N35_39,60,3037
"Lip, oral cavity and pharynx (C00-14)",M,1979,N35_39,57,3354
"Lip, oral cavity and pharynx (C00-14)",M,1980,N35_39,58,3425
"Lip, oral cavity and pharynx (C00-14)",M,1981,N35_39,47,3353
"Lip, oral cavity and pharynx (C00-14)",M,1982,N35_39,61,3560
"Lip, oral cavity and pharynx (C00-14)",M,1983,N35_39,114,5354
"Lip, oral cavity and pharynx (C00-14)",M,1984,N35_39,97,5316
"Lip, oral cavity and pharynx (C00-14)",M,1985,N35_39,120,5530
"Lip, oral cavity and pharynx (C00-14)",M,1986,N35_39,140,5868
"Lip, oral cavity and pharynx (C00-14)",M,1987,N35_39,148,6259
"Lip, oral cavity and pharynx (C00-14)",M,1988,N35_39,171,7794
"Lip, oral cavity and pharynx (C00-14)",M,1989,N35_39,176,8517
"Lip, oral cavity and pharynx (C00-14)",M,1990,N35_39,209,8829
"Lip, oral cavity and pharynx (C00-14)",M,1991,N35_39,193,9098
"Lip, oral cavity and pharynx (C00-14)",M,1992,N35_39,196,9380
"Lip, oral cavity and pharynx (C00-14)",M,1993,N35_39,215,9699
"Lip, oral cavity and pharynx (C00-14)",M,1994,N35_39,216,10382
"Lip, oral cavity and pharynx (C00-14)",M,1995,N35_39,207,10369
"Lip, oral cavity and pharynx (C00-14)",M,1996,N35_39,218,10641
"Lip, oral cavity and pharynx (C00-14)",M,1997,N35_39,214,10810
"Lip, oral cavity and pharynx (C00-14)",M,1998,N35_39,206,12195
"Lip, oral cavity and pharynx (C00-14)",M,1999,N35_39,206,12739
"Lip, oral cavity and pharynx (C00-14)",M,2000,N35_39,199,12532
"Lip, oral cavity and pharynx (C00-14)",M,2001,N35_39,202,12509
"Lip, oral cavity and pharynx (C00-14)",M,2002,N35_39,209,12352
"Lip, oral cavity and pharynx (C00-14)",M,2003,N35_39,195,13543
"Lip, oral cavity and pharynx (C00-14)",M,2004,N35_39,211,13869
"Lip, oral cavity and pharynx (C00-14)",M,2005,N35_39,196,13847
"Lip, oral cavity and pharynx (C00-14)",M,2006,N35_39,173,14354
"Lip, oral cavity and pharynx (C00-14)",M,2007,N35_39,200,14381
"Lip, oral cavity and pharynx (C00-14)",M,2008,N35_39,206,14923
"Lip, oral cavity and pharynx (C00-14)",M,2009,N35_39,187,15474
"Lip, oral cavity and pharynx (C00-14)",M,2010,N35_39,201,15746
"Lip, oral cavity and pharynx (C00-14)",M,2011,N35_39,213,16012
"Lip, oral cavity and pharynx (C00-14)",M,2012,N35_39,184,16719
"Lip, oral cavity and pharynx (C00-14)",M,2013,N35_39,189,16990
"Lip, oral cavity and pharynx (C00-14)",M,2014,N35_39,193,17173
"Lip, oral cavity and pharynx (C00-14)",M,2015,N35_39,190,17920
"Lip, oral cavity and pharynx (C00-14)",M,2016,N35_39,184,17953
"Lip, oral cavity and pharynx (C00-14)",M,2017,N35_39,181,17230
"Lip, oral cavity and pharynx (C00-14)",F,1953,N35_39,6,114
"Lip, oral cavity and pharynx (C00-14)",F,1954,N35_39,5,141
"Lip, oral cavity and pharynx (C00-14)",F,1955,N35_39,7,156
"Lip, oral cavity and pharynx (C00-14)",F,1956,N35_39,4,137
"Lip, oral cavity and pharynx (C00-14)",F,1957,N35_39,4,135
"Lip, oral cavity and pharynx (C00-14)",F,1958,N35_39,2,166
"Lip, oral cavity and pharynx (C00-14)",F,1959,N35_39,4,149
"Lip, oral cavity and pharynx (C00-14)",F,1960,N35_39,8,168
"Lip, oral cavity and pharynx (C00-14)",F,1961,N35_39,4,171
"Lip, oral cavity and pharynx (C00-14)",F,1962,N35_39,3,154
"Lip, oral cavity and pharynx (C00-14)",F,1963,N35_39,3,145
"Lip, oral cavity and pharynx (C00-14)",F,1964,N35_39,4,174
"Lip, oral cavity and pharynx (C00-14)",F,1965,N35_39,5,184
"Lip, oral cavity and pharynx (C00-14)",F,1966,N35_39,1,181
"Lip, oral cavity and pharynx (C00-14)",F,1967,N35_39,4,173
"Lip, oral cavity and pharynx (C00-14)",F,1968,N35_39,1,182
"Lip, oral cavity and pharynx (C00-14)",F,1969,N35_39,0,157
"Lip, oral cavity and pharynx (C00-14)",F,1970,N35_39,3,162
"Lip, oral cavity and pharynx (C00-14)",F,1971,N35_39,17,1264
"Lip, oral cavity and pharynx (C00-14)",F,1972,N35_39,18,1258
"Lip, oral cavity and pharynx (C00-14)",F,1973,N35_39,32,1237
"Lip, oral cavity and pharynx (C00-14)",F,1974,N35_39,24,1360
"Lip, oral cavity and pharynx (C00-14)",F,1975,N35_39,31,1355
"Lip, oral cavity and pharynx (C00-14)",F,1976,N35_39,17,1305
"Lip, oral cavity and pharynx (C00-14)",F,1977,N35_39,26,1316
"Lip, oral cavity and pharynx (C00-14)",F,1978,N35_39,31,1465
"Lip, oral cavity and pharynx (C00-14)",F,1979,N35_39,21,1553
"Lip, oral cavity and pharynx (C00-14)",F,1980,N35_39,21,1569
"Lip, oral cavity and pharynx (C00-14)",F,1981,N35_39,33,1661
"Lip, oral cavity and pharynx (C00-14)",F,1982,N35_39,38,1536
"Lip, oral cavity and pharynx (C00-14)",F,1983,N35_39,41,2103
"Lip, oral cavity and pharynx (C00-14)",F,1984,N35_39,54,2064
"Lip, oral cavity and pharynx (C00-14)",F,1985,N35_39,50,2077
"Lip, oral cavity and pharynx (C00-14)",F,1986,N35_39,46,2045
"Lip, oral cavity and pharynx (C00-14)",F,1987,N35_39,50,2282
"Lip, oral cavity and pharynx (C00-14)",F,1988,N35_39,54,2492
"Lip, oral cavity and pharynx (C00-14)",F,1989,N35_39,59,2832
"Lip, oral cavity and pharynx (C00-14)",F,1990,N35_39,61,3002
"Lip, oral cavity and pharynx (C00-14)",F,1991,N35_39,49,2918
"Lip, oral cavity and pharynx (C00-14)",F,1992,N35_39,60,3213
"Lip, oral cavity and pharynx (C00-14)",F,1993,N35_39,63,3205
"Lip, oral cavity and pharynx (C00-14)",F,1994,N35_39,72,3390
"Lip, oral cavity and pharynx (C00-14)",F,1995,N35_39,90,3543
"Lip, oral cavity and pharynx (C00-14)",F,1996,N35_39,76,3713
"Lip, oral cavity and pharynx (C00-14)",F,1997,N35_39,91,3870
"Lip, oral cavity and pharynx (C00-14)",F,1998,N35_39,80,4253
"Lip, oral cavity and pharynx (C00-14)",F,1999,N35_39,103,4490
"Lip, oral cavity and pharynx (C00-14)",F,2000,N35_39,110,4584
"Lip, oral cavity and pharynx (C00-14)",F,2001,N35_39,81,4685
"Lip, oral cavity and pharynx (C00-14)",F,2002,N35_39,91,4489
"Lip, oral cavity and pharynx (C00-14)",F,2003,N35_39,114,5051
"Lip, oral cavity and pharynx (C00-14)",F,2004,N35_39,98,5187
"Lip, oral cavity and pharynx (C00-14)",F,2005,N35_39,104,5437
"Lip, oral cavity and pharynx (C00-14)",F,2006,N35_39,100,5553
"Lip, oral cavity and pharynx (C00-14)",F,2007,N35_39,116,5814
"Lip, oral cavity and pharynx (C00-14)",F,2008,N35_39,126,6228
"Lip, oral cavity and pharynx (C00-14)",F,2009,N35_39,128,6506
"Lip, oral cavity and pharynx (C00-14)",F,2010,N35_39,115,6627
"Lip, oral cavity and pharynx (C00-14)",F,2011,N35_39,115,6660
"Lip, oral cavity and pharynx (C00-14)",F,2012,N35_39,128,7049
"Lip, oral cavity and pharynx (C00-14)",F,2013,N35_39,101,7174
"Lip, oral cavity and pharynx (C00-14)",F,2014,N35_39,102,7366
"Lip, oral cavity and pharynx (C00-14)",F,2015,N35_39,122,7556
"Lip, oral cavity and pharynx (C00-14)",F,2016,N35_39,135,7726
"Lip, oral cavity and pharynx (C00-14)",F,2017,N35_39,124,7437
Oesophagus (C15),M,1953,N35_39,2,171
Oesophagus (C15),M,1954,N35_39,1,179
Oesophagus (C15),M,1955,N35_39,0,181
Oesophagus (C15),M,1956,N35_39,0,155
Oesophagus (C15),M,1957,N35_39,2,175
Oesophagus (C15),M,1958,N35_39,2,160
Oesophagus (C15),M,1959,N35_39,0,197
Oesophagus (C15),M,1960,N35_39,0,192
Oesophagus (C15),M,1961,N35_39,0,189
Oesophagus (C15),M,1962,N35_39,0,189
Oesophagus (C15),M,1963,N35_39,0,196
Oesophagus (C15),M,1964,N35_39,1,155
Oesophagus (C15),M,1965,N35_39,1,189
Oesophagus (C15),M,1966,N35_39,1,182
Oesophagus (C15),M,1967,N35_39,1,188
Oesophagus (C15),M,1968,N35_39,0,186
Oesophagus (C15),M,1969,N35_39,0,213
Oesophagus (C15),M,1970,N35_39,3,195
Oesophagus (C15),M,1971,N35_39,10,1796
Oesophagus (C15),M,1972,N35_39,5,1872
Oesophagus (C15),M,1973,N35_39,13,1971
Oesophagus (C15),M,1974,N35_39,6,2040
Oesophagus (C15),M,1975,N35_39,10,2135
