cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
"Lip, oral cavity and pharynx (C00-14)",M,1965,N0_4,0,470
"Lip, oral cavity and pharynx (C00-14)",M,1966,N0_4,0,436
"Lip, oral cavity and pharynx (C00-14)",M,1967,N0_4,1,418
"Lip, oral cavity and pharynx (C00-14)",M,1968,N0_4,1,477
"Lip, oral cavity and pharynx (C00-14)",M,1969,N0_4,0,462
"Lip, oral cavity and pharynx (C00-14)",M,1970,N0_4,1,491
"Lip, oral cavity and pharynx (C00-14)",M,1971,N0_4,0,2231
"Lip, oral cavity and pharynx (C00-14)",M,1972,N0_4,2,2396
"Lip, oral cavity and pharynx (C00-14)",M,1973,N0_4,1,2278
"Lip, oral cavity and pharynx (C00-14)",M,1974,N0_4,1,2412
"Lip, oral cavity and pharynx (C00-14)",M,1975,N0_4,1,2448
"Lip, oral cavity and pharynx (C00-14)",M,1976,N0_4,3,2456
"Lip, oral cavity and pharynx (C00-14)",M,1977,N0_4,2,2594
"Lip, oral cavity and pharynx (C00-14)",M,1978,N0_4,1,3037
"Lip, oral cavity and pharynx (C00-14)",M,1979,N0_4,1,3354
"Lip, oral cavity and pharynx (C00-14)",M,1980,N0_4,3,3425
"Lip, oral cavity and pharynx (C00-14)",M,1981,N0_4,1,3353
"Lip, oral cavity and pharynx (C00-14)",M,1982,N0_4,3,3560
"Lip, oral cavity and pharynx (C00-14)",M,1983,N0_4,3,5354
"Lip, oral cavity and pharynx (C00-14)",M,1984,N0_4,5,5316
"Lip, oral cavity and pharynx (C00-14)",M,1985,N0_4,1,5530
"Lip, oral cavity and pharynx (C00-14)",M,1986,N0_4,0,5868
"Lip, oral cavity and pharynx (C00-14)",M,1987,N0_4,3,6259
"Lip, oral cavity and pharynx (C00-14)",M,1988,N0_4,0,7794
"Lip, oral cavity and pharynx (C00-14)",M,1989,N0_4,1,8517
"Lip, oral cavity and pharynx (C00-14)",M,1990,N0_4,4,8829
"Lip, oral cavity and pharynx (C00-14)",M,1991,N0_4,2,9098
"Lip, oral cavity and pharynx (C00-14)",M,1992,N0_4,2,9380
"Lip, oral cavity and pharynx (C00-14)",M,1993,N0_4,5,9699
"Lip, oral cavity and pharynx (C00-14)",M,1994,N0_4,5,10382
"Lip, oral cavity and pharynx (C00-14)",M,1995,N0_4,4,10369
"Lip, oral cavity and pharynx (C00-14)",M,1996,N0_4,5,10641
"Lip, oral cavity and pharynx (C00-14)",M,1997,N0_4,5,10810
"Lip, oral cavity and pharynx (C00-14)",M,1998,N0_4,3,12195
"Lip, oral cavity and pharynx (C00-14)",M,1999,N0_4,2,12739
"Lip, oral cavity and pharynx (C00-14)",M,2000,N0_4,3,12532
"Lip, oral cavity and pharynx (C00-14)",M,2001,N0_4,1,12509
"Lip, oral cavity and pharynx (C00-14)",M,2002,N0_4,3,12352
"Lip, oral cavity and pharynx (C00-14)",M,2003,N0_4,4,13543
"Lip, oral cavity and pharynx (C00-14)",M,2004,N0_4,2,13869
"Lip, oral cavity and pharynx (C00-14)",M,2005,N0_4,2,13847
"Lip, oral cavity and pharynx (C00-14)",M,2006,N0_4,0,14354
"Lip, oral cavity and pharynx (C00-14)",M,2007,N0_4,3,14381
"Lip, oral cavity and pharynx (C00-14)",M,2008,N0_4,5,14923
"Lip, oral cavity and pharynx (C00-14)",M,2009,N0_4,2,15474
"Lip, oral cavity and pharynx (C00-14)",M,2010,N0_4,6,15746
"Lip, oral cavity and pharynx (C00-14)",M,2011,N0_4,3,16012
"Lip, oral cavity and pharynx (C00-14)",M,2012,N0_4,4,16719
"Lip, oral cavity and pharynx (C00-14)",M,2013,N0_4,2,16990
"Lip, oral cavity and pharynx (C00-14)",M,2014,N0_4,2,17173
"Lip, oral cavity and pharynx (C00-14)",M,2015,N0_4,3,17920
"Lip, oral cavity and pharynx (C00-14)",M,2016,N0_4,2,17953
"Lip, oral cavity and pharynx (C00-14)",M,2017,N0_4,1,17230
"Lip, oral cavity and pharynx (C00-14)",F,1953,N0_4,1,114
"Lip, oral cavity and pharynx (C00-14)",F,1954,N0_4,0,141
"Lip, oral cavity and pharynx (C00-14)",F,1955,N0_4,0,156
"Lip, oral cavity and pharynx (C00-14)",F,1956,N0_4,0,137
"Lip, oral cavity and pharynx (C00-14)",F,1957,N0_4,1,135
"Lip, oral cavity and pharynx (C00-14)",F,1958,N0_4,0,166
"Lip, oral cavity and pharynx (C00-14)",F,1959,N0_4,0,149
"Lip, oral cavity and pharynx (C00-14)",F,1960,N0_4,0,168
"Lip, oral cavity and pharynx (C00-14)",F,1961,N0_4,0,171
"Lip, oral cavity and pharynx (C00-14)",F,1962,N0_4,0,154
"Lip, oral cavity and pharynx (C00-14)",F,1963,N0_4,0,145
"Lip, oral cavity and pharynx (C00-14)",F,1964,N0_4,0,174
"Lip, oral cavity and pharynx (C00-14)",F,1965,N0_4,0,184
"Lip, oral cavity and pharynx (C00-14)",F,1966,N0_4,0,181
"Lip, oral cavity and pharynx (C00-14)",F,1967,N0_4,0,173
"Lip, oral cavity and pharynx (C00-14)",F,1968,N0_4,0,182
"Lip, oral cavity and pharynx (C00-14)",F,1969,N0_4,0,157
"Lip, oral cavity and pharynx (C00-14)",F,1970,N0_4,0,162
"Lip, oral cavity and pharynx (C00-14)",F,1971,N0_4,1,1264
"Lip, oral cavity and pharynx (C00-14)",F,1972,N0_4,1,1258
"Lip, oral cavity and pharynx (C00-14)",F,1973,N0_4,5,1237
"Lip, oral cavity and pharynx (C00-14)",F,1974,N0_4,0,1360
"Lip, oral cavity and pharynx (C00-14)",F,1975,N0_4,2,1355
"Lip, oral cavity and pharynx (C00-14)",F,1976,N0_4,0,1305
"Lip, oral cavity and pharynx (C00-14)",F,1977,N0_4,0,1316
"Lip, oral cavity and pharynx (C00-14)",F,1978,N0_4,0,1465
"Lip, oral cavity and pharynx (C00-14)",F,1979,N0_4,1,1553
"Lip, oral cavity and pharynx (C00-14)",F,1980,N0_4,0,1569
"Lip, oral cavity and pharynx (C00-14)",F,1981,N0_4,5,1661
"Lip, oral cavity and pharynx (C00-14)",F,1982,N0_4,0,1536
"Lip, oral cavity and pharynx (C00-14)",F,1983,N0_4,0,2103
"Lip, oral cavity and pharynx (C00-14)",F,1984,N0_4,2,2064
"Lip, oral cavity and pharynx (C00-14)",F,1985,N0_4,2,2077
"Lip, oral cavity and pharynx (C00-14)",F,1986,N0_4,0,2045
"Lip, oral cavity and pharynx (C00-14)",F,1987,N0_4,1,2282
"Lip, oral cavity and pharynx (C00-14)",F,1988,N0_4,0,2492
"Lip, oral cavity and pharynx (C00-14)",F,1989,N0_4,0,2832
"Lip, oral cavity and pharynx (C00-14)",F,1990,N0_4,3,3002
"Lip, oral cavity and pharynx (C00-14)",F,1991,N0_4,5,2918
"Lip, oral cavity and pharynx (C00-14)",F,1992,N0_4,2,3213
"Lip, oral cavity and pharynx (C00-14)",F,1993,N0_4,3,3205
"Lip, oral cavity and pharynx (C00-14)",F,1994,N0_4,2,3390
"Lip, oral cavity and pharynx (C00-14)",F,1995,N0_4,2,3543
"Lip, oral cavity and pharynx (C00-14)",F,1996,N0_4,2,3713
"Lip, oral cavity and pharynx (C00-14)",F,1997,N0_4,7,3870
"Lip, oral cavity and pharynx (C00-14)",F,1998,N0_4,0,4253
"Lip, oral cavity and pharynx (C00-14)",F,1999,N0_4,1,4490
"Lip, oral cavity and pharynx (C00-14)",F,2000,N0_4,6,4584
"Lip, oral cavity and pharynx (C00-14)",F,2001,N0_4,0,4685
"Lip, oral cavity and pharynx (C00-14)",F,2002,N0_4,2,4489
"Lip, oral cavity and pharynx (C00-14)",F,2003,N0_4,1,5051
"Lip, oral cavity and pharynx (C00-14)",F,2004,N0_4,3,5187
"Lip, oral cavity and pharynx (C00-14)",F,2005,N0_4,5,5437
"Lip, oral cavity and pharynx (C00-14)",F,2006,N0_4,3,5553
"Lip, oral cavity and pharynx (C00-14)",F,2007,N0_4,6,5814
"Lip, oral cavity and pharynx (C00-14)",F,2008,N0_4,2,6228
"Lip, oral cavity and pharynx (C00-14)",F,2009,N0_4,2,6506
"Lip, oral cavity and pharynx (C00-14)",F,2010,N0_4,3,6627
"Lip, oral cavity and pharynx (C00-14)",F,2011,N0_4,4,6660
"Lip, oral cavity and pharynx (C00-14)",F,2012,N0_4,4,7049
"Lip, oral cavity and pharynx (C00-14)",F,2013,N0_4,3,7174
"Lip, oral cavity and pharynx (C00-14)",F,2014,N0_4,3,7366
"Lip, oral cavity and pharynx (C00-14)",F,2015,N0_4,6,7556
"Lip, oral cavity and pharynx (C00-14)",F,2016,N0_4,2,7726
"Lip, oral cavity and pharynx (C00-14)",F,2017,N0_4,2,7437
Oesophagus (C15),M,1953,N0_4,0,171
Oesophagus (C15),M,1954,N0_4,0,179
Oesophagus (C15),M,1955,N0_4,0,181
Oesophagus (C15),M,1956,N0_4,0,155
Oesophagus (C15),M,1957,N0_4,0,175
Oesophagus (C15),M,1958,N0_4,0,160
Oesophagus (C15),M,1959,N0_4,0,197
Oesophagus (C15),M,1960,N0_4,0,192
Oesophagus (C15),M,1961,N0_4,0,189
Oesophagus (C15),M,1962,N0_4,0,189
Oesophagus (C15),M,1963,N0_4,0,196
Oesophagus (C15),M,1964,N0_4,0,155
Oesophagus (C15),M,1965,N0_4,0,189
Oesophagus (C15),M,1966,N0_4,0,182
Oesophagus (C15),M,1967,N0_4,0,188
Oesophagus (C15),M,1968,N0_4,0,186
Oesophagus (C15),M,1969,N0_4,0,213
Oesophagus (C15),M,1970,N0_4,0,195
Oesophagus (C15),M,1971,N0_4,0,1796
Oesophagus (C15),M,1972,N0_4,0,1872
Oesophagus (C15),M,1973,N0_4,0,1971
Oesophagus (C15),M,1974,N0_4,0,2040
Oesophagus (C15),M,1975,N0_4,0,2135
Oesophagus (C15),M,1976,N0_4,0,2204
Oesophagus (C15),M,1977,N0_4,0,2298
Oesophagus (C15),M,1978,N0_4,0,2759
Oesophagus (C15),M,1979,N0_4,0,2725
Oesophagus (C15),M,1980,N0_4,0,2849
Oesophagus (C15),M,1981,N0_4,0,2959
Oesophagus (C15),M,1982,N0_4,0,3059
Oesophagus (C15),M,1983,N0_4,0,3733
Oesophagus (C15),M,1984,N0_4,0,3913
Oesophagus (C15),M,1985,N0_4,0,3991
Oesophagus (C15),M,1986,N0_4,0,4096
Oesophagus (C15),M,1987,N0_4,0,4629
Oesophagus (C15),M,1988,N0_4,0,5108
Oesophagus (C15),M,1989,N0_4,0,5628
Oesophagus (C15),M,1990,N0_4,0,6030
Oesophagus (C15),M,1991,N0_4,0,5995
Oesophagus (C15),M,1992,N0_4,0,6357
Oesophagus (C15),M,1993,N0_4,0,6858
Oesophagus (C15),M,1994,N0_4,0,7270
Oesophagus (C15),M,1995,N0_4,0,7114
Oesophagus (C15),M,1996,N0_4,0,7198
Oesophagus (C15),M,1997,N0_4,0,7554
Oesophagus (C15),M,1998,N0_4,0,8097
Oesophagus (C15),M,1999,N0_4,0,8335
Oesophagus (C15),M,2000,N0_4,0,8313
Oesophagus (C15),M,2001,N0_4,0,8631
Oesophagus (C15),M,2002,N0_4,0,8961
Oesophagus (C15),M,2003,N0_4,0,9682
Oesophagus (C15),M,2004,N0_4,0,9846
Oesophagus (C15),M,2005,N0_4,0,10008
Oesophagus (C15),M,2006,N0_4,0,10214
Oesophagus (C15),M,2007,N0_4,0,10565
Oesophagus (C15),M,2008,N0_4,0,11075
Oesophagus (C15),M,2009,N0_4,0,11052
Oesophagus (C15),M,2010,N0_4,0,11441
Oesophagus (C15),M,2011,N0_4,0,11464
Oesophagus (C15),M,2012,N0_4,0,11899
Oesophagus (C15),M,2013,N0_4,0,12035
Oesophagus (C15),M,2014,N0_4,0,12267
Oesophagus (C15),M,2015,N0_4,0,12789
Oesophagus (C15),M,2016,N0_4,0,12794
Oesophagus (C15),M,2017,N0_4,0,12617
Oesophagus (C15),F,1953,N0_4,0,85
Oesophagus (C15),F,1954,N0_4,0,77
Oesophagus (C15),F,1955,N0_4,0,78
Oesophagus (C15),F,1956,N0_4,0,67
Oesophagus (C15),F,1957,N0_4,0,73
Oesophagus (C15),F,1958,N0_4,0,80
Oesophagus (C15),F,1959,N0_4,0,86
Oesophagus (C15),F,1960,N0_4,0,77
Oesophagus (C15),F,1961,N0_4,0,81
Oesophagus (C15),F,1962,N0_4,0,78
Oesophagus (C15),F,1963,N0_4,0,90
Oesophagus (C15),F,1964,N0_4,0,102
Oesophagus (C15),F,1965,N0_4,0,103
Oesophagus (C15),F,1966,N0_4,0,92
Oesophagus (C15),F,1967,N0_4,0,104
Oesophagus (C15),F,1968,N0_4,0,89
Oesophagus (C15),F,1969,N0_4,0,104
Oesophagus (C15),F,1970,N0_4,0,96
Oesophagus (C15),F,1971,N0_4,0,1345
Oesophagus (C15),F,1972,N0_4,0,1384
Oesophagus (C15),F,1973,N0_4,0,1483
Oesophagus (C15),F,1974,N0_4,0,1507
Oesophagus (C15),F,1975,N0_4,0,1593
Oesophagus (C15),F,1976,N0_4,0,1585
Oesophagus (C15),F,1977,N0_4,0,1706
Oesophagus (C15),F,1978,N0_4,0,1955
Oesophagus (C15),F,1979,N0_4,0,1882
Oesophagus (C15),F,1980,N0_4,0,1961
Oesophagus (C15),F,1981,N0_4,0,2080
Oesophagus (C15),F,1982,N0_4,0,2111
Oesophagus (C15),F,1983,N0_4,0,2260
Oesophagus (C15),F,1984,N0_4,0,2344
Oesophagus (C15),F,1985,N0_4,0,2359
Oesophagus (C15),F,1986,N0_4,0,2340
Oesophagus (C15),F,1987,N0_4,0,2538
Oesophagus (C15),F,1988,N0_4,0,2634
Oesophagus (C15),F,1989,N0_4,0,2944
Oesophagus (C15),F,1990,N0_4,0,3110
Oesophagus (C15),F,1991,N0_4,0,3173
Oesophagus (C15),F,1992,N0_4,0,3266
Oesophagus (C15),F,1993,N0_4,0,3410
Oesophagus (C15),F,1994,N0_4,1,3646
Oesophagus (C15),F,1995,N0_4,0,3548
Oesophagus (C15),F,1996,N0_4,0,3527
